Year,Number of institutions(thsd),Number of places(thsd),Number of persons(thsd),Coverage of children(%)
1990,24.5,2277,2428,57
1991,24.4,2243,2268,55
1992,23.8,2216,2063,51
1993,23.2,2189,1918,49
1994,22.3,2101,1736,47
1995,21.4,2014,1536,44
1996,20.2,1856,1342,41
1997,18.4,1770,1172,38
1998,17.6,1638,1103,38
1999,17.2,1216,1055,39
2000,16.3,1117,983,40
2001,15.7,1077,968,41
2002,15.3,1060,973,48
2003,15,1053,977,49
2004,14.9,1040,996,50
2005,15.1,1056,1032,51
2006,15.1,1063,1081,53
2007,15.3,1084,1137,54
2008,15.4,1110,1195,54
2009,15.5,1121,1214,53
2010,15.6,1136,1273,53
2011,16.1,1171,1354,55
2012,16.4,1204,1428,57
2013,16.7,1236,1471,61
2014,15,1077,1295,55
2015,14.8,1105,1291,55
2016,14.9,1125,1300,57
2017,14.9,1141,1304,59
2018,14.9,1156,1278,61
2019,14.8,1155,1230,63
2020,15.3,1153,1151,63
2021,15,1138,1111,65
2022,13.9,1047,934,53
2023,13.5,1010,862,55
2024,12.9,961,781,57
