Date,Value,Anomaly
189501,28.4,-3
189601,27.8,-3.6
189701,28.6,-2.8
189801,33.2,1.8
189901,29.2,-2.2
190001,30.1,-1.3
190101,30.4,-1
190201,28.3,-3.1
190301,28.3,-3.1
190401,23.1,-8.3
190501,26.4,-5
190601,35.5,4.1
190701,32,0.6
190801,30.1,-1.3
190901,31.5,0.1
191001,29.2,-2.2
191101,34,2.6
191201,22.1,-9.3
191301,39.2,7.8
191401,29.9,-1.5
191501,32.8,1.4
191601,34.3,2.9
191701,31.2,-0.2
191801,20.1,-11.3
191901,34,2.6
192001,22.3,-9.1
192101,32.3,0.9
192201,27.1,-4.3
192301,28.8,-2.6
192401,31.1,-0.3
192501,26.8,-4.6
192601,30.4,-1
192701,29.3,-2.1
192801,32.4,1
192901,30.4,-1
193001,31.7,0.3
193101,31.2,-0.2
193201,41.6,10.2
193301,38.7,7.3
193401,33.1,1.7
193501,27.3,-4.1
193601,27.7,-3.7
193701,38.6,7.2
193801,30.5,-0.9
193901,30.6,-0.8
194001,23.4,-8
194101,27.8,-3.6
194201,29.1,-2.3
194301,29.2,-2.2
194401,32.3,0.9
194501,23.6,-7.8
194601,32.5,1.1
194701,35.5,4.1
194801,23.8,-7.6
194901,37,5.6
195001,40.1,8.7
195101,34.8,3.4
195201,34.6,3.2
195301,36.1,4.7
195401,29.7,-1.7
195501,29.9,-1.5
195601,31,-0.4
195701,27.4,-4
195801,30.8,-0.6
195901,30.1,-1.3
196001,32.8,1.4
196101,26,-5.4
196201,30.3,-1.1
196301,29,-2.4
196401,34.6,3.2
196501,28.6,-2.8
196601,30.8,-0.6
196701,36,4.6
196801,25.3,-6.1
196901,30.5,-0.9
197001,23.8,-7.6
197101,25.6,-5.8
197201,34,2.6
197301,34.5,3.1
197401,34.2,2.8
197501,36.3,4.9
197601,26.6,-4.8
197701,21.3,-10.1
197801,27.6,-3.8
197901,31.3,-0.1
198001,32.1,0.7
198101,24.9,-6.5
198201,24.8,-6.6
198301,33.2,1.8
198401,28.5,-2.9
198501,27.5,-3.9
198601,32.8,1.4
198701,31.4,0
198801,28.6,-2.8
198901,36.5,5.1
199001,40.5,9.1
199101,34,2.6
199201,34.8,3.4
199301,35.4,4
199401,24.6,-6.8
199501,36.6,5.2
199601,30.5,-0.9
199701,32.1,0.7
199801,40,8.6
199901,33.9,2.5
200001,31.3,-0.1
200101,33.6,2.2
200201,39.9,8.5
200301,27.5,-3.9
200401,24.7,-6.7
200501,31.3,-0.1
200601,40.9,9.5
200701,37.5,6.1
200801,36.5,5.1
200901,27.9,-3.5
201001,32.5,1.1
201101,29.7,-1.7
201201,37.3,5.9
201301,35.1,3.7
201401,28.7,-2.7
201501,30,-1.4
201601,34.5,3.1
201701,38.1,6.7
201801,31.8,0.4
201901,32.6,1.2
202001,39.2,7.8
202101,34.8,3.4
202201,30.4,-1
202301,43.5,12.1
202401,37,5.6
202501,31.3,-0.1
202601,30.4,-1
